name, coordinates
TB23,"Sur le bord extérieur interne bas du sourcil"
20GI,"Avec votre pouce et votre index, pressez de chaque côté de l’arête de votre nez. Maintenez de une à deux minutes. Répétez trois fois. En utilisant vos deux index, pressez sur le point DU-24. En effectuant de très petites rotations, déplacez lentement vos doigts de chaque côté de votre crâne vers vos oreilles"
4GI,"Formez un L avec votre main gauche. En utilisant votre pouce et votre index de la main droite, pressez à l’endroit où les deux pieds du L se rejoignent. Faites des rotations avec votre pouce en exerçant une pression pendant cinq minutes. Soyez ferme, mais n’appuyez pas assez pour que cela fasse mal. Répétez avec la main droite. Avertissement aux femmes enceintes: il vaudrait peut-être mieux éviter de stimuler ce point de pression car cela pourrait déclencher le travail."
27R,"Le point 27 Rein est intéressant pour aider à détendre la zone du thorax et ainsi faciliter la respiration. Ce point est facilement accessible. Il se situe sous la clavicule tout près du sternum. Avec le doigt, on peut sentir une petite cavité à cet endroit. Durant 1 à 2 minutes, masser ou tapoter fermement les points simultanément ou l’un après l’autre, au besoin."
7P,"Le point 7 Poumon est situé à deux travers de doigt du pli du poignet. La technique classique pour trouver le point 7 Poumon lors de l’auto-massage est d’entrecroiser les pouces de vos mains. Ainsi, le bout de l’index déposé sur l’apophyse styloïde du radius arrive tout juste au-dessus du point. Plus précisément, le point se situe entre les deux tendons qu’il est possible de palper dans cette position. 1 à 2 minutes de stimulation à répéter au besoin jusqu’au soulagement des symptômes."
6Rt,"Le point Sanyinjiao est situé 4 doigts au-dessus de la malléole, sur la face interne du pied. Il faut effectuer des mouvements circulaires pendant 2 minutes."
3F,"Le point Taichong est situé au-dessus du pied, deux doigts en-dessous du gros orteil. Trois solutions sont possibles : le presser en continu, le masser par des mouvements circulaires ou le tapoter."
Le point Tian Inférieur,"Situé 3 doigts en-dessous du nombril. Trois solutions sont possibles : le presser en continu, le masser par des mouvements circulaires ou le tapoter."
5C,"1 cun (unité de mesure d'un doigt) en amont du pli transversal du poignet, à l'extérieur dans le sillon du nerf  ulnaire"
5PC,"3 cun du pli transversal du poignet, en direction proximale entre les tendons du long palmaire et du fléchisseur radial du carpe"
7C,"Le 7ème point du méridien Maître Coeur (assocé à l'émotionnel) se situe au pli du poignet, face interne de l'avant-bras, entre les 2 tendons. Massez la zone dans le sens contraire des aiguilles d'une montre, plusieurs fois par jour."
